a265,adenosine,inosine
2.03,300,0
2.651,300,0
2.083,300,0
1.526,300,0
1.053,150,0.29296875
1.205,150,0.29296875
1.551,150,0.29296875
2.187,150,0.29296875
0.56,75,0.5859375
0.583,75,0.5859375
0.58,75,0.5859375
0.521,75,0.5859375
0.304,37.5,1.171875
0.318,37.5,1.171875
0.333,37.5,1.171875
0.907,37.5,1.171875
0.194,18.75,2.34375
0.196,18.75,2.34375
0.195,18.75,2.34375
0.194,18.75,2.34375
0.137,9.375,4.6875
0.138,9.375,4.6875
0.139,9.375,4.6875
0.13,9.375,4.6875
0.12,4.6875,9.375
0.12,4.6875,9.375
0.119,4.6875,9.375
0.11,4.6875,9.375
0.13,2.34375,18.75
0.129,2.34375,18.75
0.13,2.34375,18.75
0.125,2.34375,18.75
0.176,1.171875,37.5
0.176,1.171875,37.5
0.176,1.171875,37.5
0.173,1.171875,37.5
0.281,0.5859375,75
0.279,0.5859375,75
0.283,0.5859375,75
0.26,0.5859375,75
0.489,0.29296875,150
0.495,0.29296875,150
0.491,0.29296875,150
0.481,0.29296875,150
0.919,0,300
0.919,0,300
0.92,0,300
0.922,0,300
